date,curr_close,real_close,real_return,abs_real_return,roll_std,ewma_abs,roll_abs,real_high_vol,pred_close,pred_return,abs_pred_return,pred_high_vol
2024-01-01,21731.400390625,21741.900390625,0.0004831718072126514,0.0004831718072126514,0.0073051669330625735,0.005656104821920804,0.006265038251876831,0,21605.501953125,-0.0057933881497261,0.0057933881497261,0
2024-01-02,21741.900390625,21665.80078125,-0.0035001360510240297,0.0035001360510240297,0.007310033983115265,0.0051634429579806625,0.005954551696777344,0,21829.69921875,0.004038231550488495,0.004038231550488495,0
2024-01-03,21665.80078125,21517.349609375,-0.006851866375669461,0.006851866375669461,0.006250716846565017,0.005005035395805863,0.005096152424812317,1,21719.009765625,0.0024558974261892075,0.0024558974261892075,0
2024-01-04,21517.349609375,21658.599609375,0.006564470186349442,0.006564470186349442,0.006414720005629663,0.0051809226857438785,0.005031967163085937,1,21744.8671875,0.010573680413961008,0.010573680413961008,1
2024-01-05,21658.599609375,21710.80078125,0.0024101822286056087,0.0024101822286056087,0.006491464287415363,0.00531269175831045,0.005162161588668823,0,21718.7109375,0.002775402344063861,0.002775402344063861,0
2024-01-08,21710.80078125,21513.0,-0.009110708685643036,0.009110708685643036,0.006441213621768177,0.005036261440008282,0.005195391178131103,1,21727.95703125,0.000790217282764465,0.000790217282764465,0
2024-01-09,21513.0,21544.849609375,0.0014804820050667038,0.0014804820050667038,0.00688456549259719,0.005424302175551113,0.005487656593322754,0,21485.529296875,-0.0012769350218472552,0.0012769350218472552,0
2024-01-10,21544.849609375,21618.69921875,0.0034277152411806657,0.0034277152411806657,0.006884679781280642,0.005048698174730164,0.005495631694793701,0,21648.78515625,0.004824148172738863,0.004824148172738863,0
2024-01-11,21618.69921875,21647.19921875,0.001318303183351652,0.001318303183351652,0.006768167638532636,0.004894321578255212,0.005451038479804993,0,21659.79296875,0.0019008428575739283,0.0019008428575739283,0
2024-01-12,21647.19921875,21894.55078125,0.01142649263770591,0.01142649263770591,0.006766550508853921,0.004553751478720628,0.005469241738319397,1,21687.341796875,0.0018544005494359746,0.0018544005494359746,0
2024-01-15,21894.55078125,22097.44921875,0.009267074694848621,0.009267074694848621,0.006701261291363895,0.00520829408284452,0.00542806088924408,1,21826.568359375,-0.0031049927698547993,0.0031049927698547993,0
2024-01-16,22097.44921875,22032.30078125,-0.0029482333845447023,0.0029482333845447023,0.006421445259417513,0.005594846241725865,0.005244776606559753,0,21966.30078125,-0.005935003456811598,0.005935003456811598,0
2024-01-17,22032.30078125,21571.94921875,-0.02089439351208249,0.02089439351208249,0.006458219249328776,0.0053427870324686535,0.005303636193275452,1,21995.4140625,-0.0016742109285922356,0.0016742109285922356,0
2024-01-18,21571.94921875,21462.25,-0.005085271508735574,0.005085271508735574,0.008161645296115953,0.006823893812806228,0.006267938017845154,0,21654.03125,0.003805035438274423,0.003805035438274423,0
2024-01-19,21462.25,21622.400390625,0.007461957186455288,0.007461957186455288,0.007547849167800475,0.00665831244761535,0.005816128849983215,0,21528.2890625,0.003076986918892474,0.003076986918892474,0
2024-01-23,21622.400390625,21238.80078125,-0.017740842942734536,0.017740842942734536,0.007641283663913495,0.006734845117312093,0.005941233038902283,1,21762.640625,0.006485877231086938,0.006485877231086938,0
