date,curr_close,real_close,real_return,real_direction,rw_direction,sma_direction,bh_direction,pred_close,pred_return,pred_direction,prob_up
2020-01-01,12168.4501953125,12182.5,0.0011546092116900993,1,-1,1,1,12141.94921875,-0.0021778432041172045,-1,0.32014107873099296
2020-01-02,12182.5,12282.2001953125,0.008183886337984815,1,1,1,1,12149.48828125,-0.002709765544838908,-1,0.27969780796156185
2020-01-03,12282.2001953125,12226.650390625,-0.0045227893866035965,-1,1,1,1,12253.9580078125,-0.002299440413842027,-1,0.3155935601697173
2020-01-06,12226.650390625,11993.0498046875,-0.01910585307294117,-1,-1,1,1,12192.6220703125,-0.0027831269583525357,-1,0.2730900349026099
2020-01-07,11993.0498046875,12052.9501953125,0.004994592001242908,1,-1,1,1,11992.0361328125,-8.452160972464276e-05,-1,0.4942676189257949
2020-01-08,12052.9501953125,12025.349609375,-0.0022899444111396158,-1,1,1,1,12114.302734375,0.005090250774151589,1,0.8031189682306847
2020-01-09,12025.349609375,12215.900390625,0.015845758122611756,1,-1,1,1,11998.8701171875,-0.0022019727531960073,-1,0.3520800844214182
2020-01-10,12215.900390625,12256.7998046875,0.0033480474426500683,1,1,1,1,12244.09765625,0.0023082429230218493,1,0.6407687557828139
2020-01-13,12256.7998046875,12329.5498046875,0.005935480807329286,1,1,1,1,12240.3837890625,-0.001339339459450243,-1,0.41424813342990513
2020-01-14,12329.5498046875,12362.2998046875,0.002656220260982195,1,1,1,1,12252.9013671875,-0.00621664527206496,-1,0.16797885971770793
2020-01-15,12362.2998046875,12343.2998046875,-0.0015369308543055748,-1,1,1,1,12306.498046875,-0.004513865437185179,-1,0.23189950664286388
2020-01-16,12343.2998046875,12355.5,0.0009884063018437618,1,-1,1,1,12291.15234375,-0.004224758513740098,-1,0.2447672578227304
2020-01-17,12355.5,12352.349609375,-0.0002549788049856339,-1,1,1,1,12336.4521484375,-0.0015416495943102262,-1,0.39831261206000046
2020-01-20,12352.349609375,12224.5498046875,-0.010346193941151442,-1,-1,1,1,12344.4111328125,-0.0006426693555107099,-1,0.45711767029575445
2020-01-21,12224.5498046875,12169.849609375,-0.004474618385662368,-1,-1,1,1,12220.3466796875,-0.0003438265676162825,-1,0.4781666103416557
2020-01-22,12169.849609375,12106.900390625,-0.0051725551893021995,-1,-1,1,1,12204.8740234375,0.0028779660543643095,1,0.6748137901700744
2020-01-23,12106.900390625,12180.349609375,0.00606672363529773,1,-1,1,1,12087.40625,-0.0016101677552493388,-1,0.3981862404179924
2020-01-24,12180.349609375,12248.25,0.00557458470426319,1,1,1,1,12194.798828125,0.0011862729078711083,1,0.5776562698659352
2020-01-27,12248.25,12119.0,-0.010552527912150715,-1,1,1,1,12249.31640625,8.706600942991857e-05,1,0.5056597983747907
2020-01-28,12119.0,12055.7998046875,-0.005214967844912947,-1,-1,1,1,12070.28125,-0.0040200305305718295,-1,0.2655836812815641
2020-01-29,12055.7998046875,12129.5,0.00611325639994819,1,-1,1,1,12036.13671875,-0.0016310063418483987,-1,0.3991976622619017
2020-01-30,12129.5,12035.7998046875,-0.007724984155365019,-1,1,1,1,12126.822265625,-0.00022076213982439506,-1,0.48597307782832194
2020-01-31,12035.7998046875,11962.099609375,-0.006123414854723364,-1,-1,1,1,12057.689453125,0.0018187115765231313,1,0.6119050041678391
2020-02-03,11962.099609375,11707.900390625,-0.021250384719316135,-1,-1,1,1,11980.0361328125,0.0014994460858228176,1,0.6084593930709887
2020-02-04,11707.900390625,11979.650390625,0.023210822686670744,1,-1,1,1,11760.1650390625,0.004464049632618199,1,0.7475553655039001
2020-02-05,11979.650390625,12089.150390625,0.00914050046783437,1,1,1,1,11940.7783203125,-0.003244841797964354,-1,0.34293742621566087
2020-02-06,12089.150390625,12137.9501953125,0.004036661230167481,1,1,1,1,12115.15625,0.002151173451789238,1,0.6114383732716602
2020-02-07,12137.9501953125,12098.349609375,-0.0032625431230384493,-1,1,1,1,12137.505859375,-3.6607164335836216e-05,-1,0.4980746751547143
2020-02-10,12098.349609375,12031.5,-0.005525514763038282,-1,-1,1,1,12122.6318359375,0.0020070693397456233,1,0.6052097672518013
2020-02-11,12031.5,12107.900390625,0.00635003038897893,1,-1,1,1,12037.658203125,0.0005118400137140007,1,0.5271733662705712
2020-02-12,12107.900390625,12201.2001953125,0.00770569641948334,1,1,-1,1,12124.58203125,0.0013777484193639709,1,0.57145837845351
2020-02-13,12201.2001953125,12174.650390625,-0.002175999431408395,-1,1,-1,1,12234.2548828125,0.0027091340991764945,1,0.6351648038660374
2020-02-14,12174.650390625,12113.4501953125,-0.0050268544351488535,-1,-1,-1,1,12156.236328125,-0.0015124920970362823,-1,0.42327343463084377
2020-02-17,12113.4501953125,12045.7998046875,-0.005584733460263736,-1,-1,-1,1,12159.5,0.0038015432387149065,1,0.6889466617650807
2020-02-18,12045.7998046875,11992.5,-0.004424762618648114,-1,-1,-1,1,12064.7490234375,0.0015730975989345353,1,0.5812846105902012
2020-02-19,11992.5,12125.900390625,0.011123651500938086,1,-1,-1,1,12036.544921875,0.00367270559724828,1,0.6829570917733859
2020-02-20,12125.900390625,12080.849609375,-0.0037152524595064703,-1,1,-1,1,12140.0244140625,0.0011647814168438844,1,0.5589694466258074
2020-02-24,12080.849609375,11829.400390625,-0.02081386879900152,-1,-1,-1,1,12093.162109375,0.0010191750082250205,1,0.5520319426308046
2020-02-25,11829.400390625,11797.900390625,-0.0026628568617023296,-1,-1,-1,1,11851.150390625,0.0018386392616516086,1,0.5859945642596962
2020-02-26,11797.900390625,11678.5,-0.010120477938589775,-1,-1,-1,1,11830.58984375,0.0027707856519093954,1,0.6284160763949165
2020-02-27,11678.5,11633.2998046875,-0.0038703767874727064,-1,-1,-1,1,11740.115234375,0.005275954478314852,1,0.7303741541886835
2020-02-28,11633.2998046875,11201.75,-0.0370960786649384,-1,-1,-1,1,11640.7138671875,0.0006373137995646422,1,0.5302870607391388
2020-03-02,11201.75,11132.75,-0.006159751824491709,-1,-1,-1,1,11238.5234375,0.0032828296917892293,1,0.6212552009644406
2020-03-03,11132.75,11303.2998046875,0.015319647408546855,1,-1,-1,1,11174.39453125,0.0037407227549347646,1,0.6445485945205138
2020-03-04,11303.2998046875,11251.0,-0.004626950146523688,-1,1,-1,1,11305.142578125,0.00016302968773205487,1,0.5069213880335184
2020-03-05,11251.0,11269.0,0.0015998577904186295,1,-1,-1,1,11165.3056640625,-0.0076165972746866945,-1,0.20825388465043312
2020-03-06,11269.0,10989.4501953125,-0.0248069753028219,-1,1,-1,1,11302.3623046875,0.002960538174416541,1,0.6277778590727292
2020-03-09,10989.4501953125,10451.4501953125,-0.04895604333595155,-1,-1,-1,1,10828.263671875,-0.014667387409995578,-1,0.08437761456194463
2020-03-11,10451.4501953125,10458.400390625,0.000664998175623243,1,-1,-1,1,10520.845703125,0.006639797015310282,1,0.6972772191247236
2020-03-12,10458.400390625,9590.150390625,-0.0830193880106471,-1,1,-1,1,10502.083984375,0.004176890549070807,1,0.6299885749530905
2020-03-13,9590.150390625,9955.2001953125,0.0380650761268937,1,-1,-1,1,9862.4033203125,0.028388807119609415,1,0.9224549359153529
2020-03-16,9955.2001953125,9197.400390625,-0.07612100106679093,-1,1,-1,1,10276.173828125,0.03224180594214805,1,0.9253154590139856
2020-03-17,9197.400390625,8967.0498046875,-0.025045184090528298,-1,-1,-1,1,9548.5751953125,0.03818196335623878,1,0.9290447230813751
2020-03-18,8967.0498046875,8468.7998046875,-0.05556454027271503,-1,-1,-1,1,9333.970703125,0.04091879786880331,1,0.9401175312592525
2020-03-19,8468.7998046875,8263.4501953125,-0.024247781753128528,-1,-1,-1,1,9351.318359375,0.10420822017767192,1,0.998798923624849
2020-03-20,8263.4501953125,8745.4501953125,0.058329146858465714,1,-1,-1,1,8924.2841796875,0.0799707106300299,1,0.9949911971516515
2020-03-23,8745.4501953125,7610.25,-0.12980466070471242,-1,1,-1,1,9034.52734375,0.03305457603456976,1,0.8685975694783213
2020-03-24,7610.25,7801.0498046875,0.025071424025163432,1,-1,-1,1,8627.0283203125,0.1336064282135935,1,0.9978093717961654
2020-03-25,7801.0498046875,8317.849609375,0.06624746894667496,1,1,-1,1,8643.2197265625,0.10795597297288839,1,0.992006946593071
2020-03-26,8317.849609375,8641.4501953125,0.03890435643038937,1,1,-1,1,8442.9970703125,0.015045650837020067,1,0.6488756320909641
2020-03-27,8641.4501953125,8660.25,0.0021755381634552306,1,1,-1,1,8692.6171875,0.00592111173831161,1,0.5582754765119317
2020-03-30,8660.25,8281.099609375,-0.04378053643081897,-1,1,-1,1,8850.3876953125,0.021955220150977166,1,0.7050407739361857
2020-03-31,8281.099609375,8597.75,0.038237722713360595,1,-1,-1,1,8521.56640625,0.029038027341534267,1,0.7579609248525209
2020-04-01,8597.75,8253.7998046875,-0.04000467509668227,-1,1,-1,1,8703.9951171875,0.01235731641272426,1,0.6169018342400661
2020-04-03,8253.7998046875,8083.7998046875,-0.020596574186770748,-1,-1,-1,1,8494.796875,0.029198317867563602,1,0.7537761965189349
2020-04-07,8083.7998046875,8792.2001953125,0.08763210467115037,1,-1,-1,1,8297.42578125,0.026426430852311077,1,0.7340693588458518
2020-04-08,8792.2001953125,8748.75,-0.004941902407507187,-1,1,-1,1,8660.267578125,-0.015005642985454194,-1,0.3716328873112483
2020-04-09,8748.75,9111.900390625,0.041508831618802686,1,-1,-1,1,8901.1171875,0.017415880840120017,1,0.6497573579810813
2020-04-13,9111.900390625,8993.849609375,-0.012955670737079107,-1,1,-1,1,9130.4111328125,0.002031490840982549,1,0.5176662394881394
2020-04-15,8993.849609375,8925.2998046875,-0.007621853562688565,-1,-1,-1,1,9096.333984375,0.011394939814556432,1,0.6032341258139436
2020-04-16,8925.2998046875,8992.7998046875,0.007562771164790399,1,-1,-1,1,8978.560546875,0.005967389707125341,1,0.5555062961598201
2020-04-17,8992.7998046875,9266.75,0.030463281876874804,1,1,-1,1,9007.35546875,0.0016185909148019569,1,0.5159680453017889
2020-04-20,9266.75,9261.849609375,-0.0005288143766692746,-1,1,-1,1,9324.7626953125,0.006260306505786819,1,0.5613821014960032
2020-04-21,9261.849609375,8981.4501953125,-0.0302746671440956,-1,-1,-1,1,9298.732421875,0.003982229690133016,1,0.5407602386511103
2020-04-22,8981.4501953125,9187.2998046875,0.022919417788725787,1,-1,-1,1,9019.47265625,0.004233443387276619,1,0.5431200741406181
2020-04-23,9187.2998046875,9313.900390625,0.013779955877014752,1,1,-1,1,9168.10546875,-0.0020892249459092166,-1,0.4780218130775078
2020-04-24,9313.900390625,9154.400390625,-0.017124941572334865,-1,1,-1,1,9204.0615234375,-0.011793004281864493,-1,0.3367816388889274
2020-04-27,9154.400390625,9282.2998046875,0.013971358975458566,1,-1,-1,1,9156.349609375,0.00021292697138265772,1,0.503022978048165
2020-04-28,9282.2998046875,9380.900390625,0.010622430648890199,1,1,-1,1,9254.9580078125,-0.002945584332580227,-1,0.4547114367655455
2020-04-29,9380.900390625,9553.349609375,0.01838301352419654,1,1,-1,1,9519.109375,0.01473301907278773,1,0.7182614356426893
2020-04-30,9553.349609375,9859.900390625,0.03208830345213915,1,1,-1,1,9609.4140625,0.005868564997347339,1,0.5917185640976237
2020-05-04,9859.900390625,9293.5,-0.057444839013135,-1,1,-1,1,9695.0703125,-0.016717215346488075,-1,0.24549818748566454
2020-05-05,9293.5,9205.599609375,-0.009458265521601119,-1,-1,-1,1,9266.6640625,-0.0028876028944961533,-1,0.45586430201661254
2020-05-06,9205.599609375,9270.900390625,0.007093593467121638,1,-1,-1,1,9176.16015625,-0.00319799408775272,-1,0.44863540567338056
2020-05-07,9270.900390625,9199.0498046875,-0.00775011950405134,-1,1,-1,1,9103.5595703125,-0.01805011522739688,-1,0.23324262282772942
2020-05-08,9199.0498046875,9251.5,0.005701697069383546,1,-1,-1,1,9048.4765625,-0.016368347316781932,-1,0.19876964625369237
2020-05-11,9251.5,9239.2001953125,-0.0013294930214019349,-1,1,-1,1,9257.103515625,0.0006056872534183646,1,0.5129282437957123
2020-05-12,9239.2001953125,9196.5498046875,-0.004616242718351166,-1,-1,-1,1,9361.9091796875,0.013281342733243976,1,0.7746569995355178
2020-05-13,9196.5498046875,9383.5498046875,0.02033371253039762,1,-1,-1,1,9164.0458984375,-0.0035343587476069226,-1,0.4177727164574839
2020-05-14,9383.5498046875,9142.75,-0.025661909373274686,-1,1,-1,1,9457.2470703125,0.007853879092556736,1,0.6741748117300749
