date,curr_close,real_close,real_return,real_direction,rw_direction,sma_direction,bh_direction,pred_close,pred_return,pred_direction,prob_up
2018-06-13,10842.849609375,10856.7001953125,0.001277393529974301,1,1,1,1,10809.2275390625,-0.003100851853873313,-1,0.2881255175196298
2018-06-14,10856.7001953125,10808.0498046875,-0.004481139733968646,-1,1,1,1,10852.5283203125,-0.00038426731188554445,-1,0.4713707591300891
2018-06-15,10808.0498046875,10817.7001953125,0.000892889170515719,1,-1,1,1,10759.0458984375,-0.004534019285213396,-1,0.1980535256896093
2018-06-18,10817.7001953125,10799.849609375,-0.0016501276255774747,-1,1,1,1,10796.4033203125,-0.0019687063438149554,-1,0.3450460285502047
2018-06-19,10799.849609375,10710.4501953125,-0.008277838793689799,-1,-1,1,1,10783.921875,-0.0014748107567325427,-1,0.3829815063625889
2018-06-20,10710.4501953125,10772.0498046875,0.005751355755518053,1,-1,1,1,10727.7880859375,0.0016187826196687833,1,0.6315032365798114
2018-06-21,10772.0498046875,10741.099609375,-0.0028731945983977813,-1,1,1,1,10739.0908203125,-0.0030596761965079075,-1,0.26149154408906583
2018-06-22,10741.099609375,10821.849609375,0.007517852262492766,1,-1,1,1,10746.271484375,0.000481503308607799,1,0.5422733926605205
2018-06-25,10821.849609375,10762.4501953125,-0.005488841206131909,-1,1,1,1,10794.140625,-0.0025604665907568726,-1,0.28797662459188983
2018-06-26,10762.4501953125,10769.150390625,0.0006225529680423717,1,-1,1,1,10769.0703125,0.0006151124574200901,1,0.5539810265763033
2018-06-27,10769.150390625,10671.400390625,-0.009076853461448129,-1,1,1,1,10757.6220703125,-0.0010704948760429504,-1,0.40629823098627116
2018-06-28,10671.400390625,10589.099609375,-0.007712275637441416,-1,-1,1,1,10663.2685546875,-0.0007620214442186943,-1,0.43049799274773426
2018-06-29,10589.099609375,10714.2998046875,0.011823497741172886,1,-1,1,1,10624.40625,0.0033342438854519285,1,0.7646762206372912
2018-07-02,10714.2998046875,10657.2998046875,-0.005319993003655034,-1,1,1,1,10724.8349609375,0.0009832799568844316,1,0.5794617580345315
2018-07-03,10657.2998046875,10699.900390625,0.003997315147197284,1,-1,1,1,10640.7412109375,-0.0015537325639198851,-1,0.377621291018568
2018-07-04,10699.900390625,10769.900390625,0.006542116977213391,1,1,1,1,10682.0908203125,-0.0016644613185468834,-1,0.36390146005135904
2018-07-05,10769.900390625,10749.75,-0.001870991364278591,-1,1,1,1,10741.5849609375,-0.0026291264227613527,-1,0.2900532847162342
